total_files,burst_files,total_size,burst_size,total_duration,burst_config_duration,burst_current_duration,burst_pause,burst_config_rate,burst_current_rate,algorithm
12,12,1529602,1529602,2302.061,0,10.007,0,0.0,664.449,AES-CTR
12,12,1541906,1541906,2312.085,0,10.022,0,0.0,666.890,AES-CTR
12,12,1548354,1548354,2322.118,0,10.031,0,0.0,666.785,AES-CTR
12,12,1555666,1555666,2332.127,0,10.007,0,0.0,667.059,AES-CTR
12,12,1562898,1562898,2342.130,0,10.002,0,0.0,667.298,AES-CTR
12,12,1571170,1571170,2352.135,0,10.002,0,0.0,667.976,AES-CTR
12,12,1578114,1578114,2362.176,0,10.038,0,0.0,668.076,AES-CTR
12,12,1586626,1586626,2372.180,0,10.001,0,0.0,668.847,AES-CTR
12,12,1596194,1596194,2382.203,0,10.016,0,0.0,670.049,AES-CTR
12,12,1603138,1603138,2392.213,0,10.007,0,0.0,670.149,AES-CTR
12,12,1610482,1610482,2402.216,0,10.001,0,0.0,670.415,AES-CTR
12,12,1620194,1620194,2412.219,0,10.001,0,0.0,671.661,AES-CTR
12,12,1627586,1627586,2422.231,0,10.011,0,0.0,671.937,AES-CTR
12,12,1639410,1639410,2432.247,0,10.012,0,0.0,674.031,AES-CTR
12,12,1649378,1649378,2442.267,0,10.018,0,0.0,675.347,AES-CTR
12,12,1656194,1656194,2452.288,0,10.019,0,0.0,675.367,AES-CTR
12,12,1662354,1662354,2462.355,0,10.062,0,0.0,675.107,AES-CTR
12,12,1669330,1669330,2472.375,0,10.018,0,0.0,675.193,AES-CTR
12,12,1676098,1676098,2482.381,0,10.005,0,0.0,675.198,AES-CTR
12,12,1682818,1682818,2492.387,0,10.004,0,0.0,675.183,AES-CTR
12,12,1689554,1689554,2502.400,0,10.011,0,0.0,675.173,AES-CTR
12,12,1696434,1696434,2512.404,0,10.003,0,0.0,675.223,AES-CTR
12,12,1702354,1702354,2522.415,0,10.009,0,0.0,674.891,AES-CTR
12,12,1708930,1708930,2532.416,0,10.000,0,0.0,674.822,AES-CTR
12,12,1715874,1715874,2542.434,0,10.015,0,0.0,674.894,AES-CTR
12,12,1722658,1722658,2552.441,0,10.006,0,0.0,674.906,AES-CTR
12,12,1730194,1730194,2562.444,0,10.001,0,0.0,675.212,AES-CTR
12,12,1736738,1736738,2572.452,0,10.007,0,0.0,675.130,AES-CTR
12,12,1743858,1743858,2582.462,0,10.008,0,0.0,675.270,AES-CTR
